Adobe Systems;ADBE;28.02.1982;Adobe World Headquarters San Jose California U.S.;28.02.1982;17000;2300000000;+1 234 567-89-00;John.Warnock@adobe.com;Service;Software development;adobe.com
Apple;AAPL;01.04.1976;1 Apple Park Way Cupertino California U.S.;01.04.1976;123000;525000000;+1 234 567-89-00;Steve.Jobs@icloud.com;Service;Hardware development;apple.com
The Boeing Company;BA;15.07.1916;Chicago Illinois U.S.;15.07.1916;141322;1900000000;+1 234 567-89-00;Dennis.Muilenburg@boeng.com;Heavy Industry;Aerospace;boeing.com
The Coca-Cola Company;CO;35.02.1892;Atlanta Georgia U.S.;35.02.1892;61800;4100000000;+1 234 567-89-00;James.Quincey@coco.com;Food Industry;Beverage;Coca-ColaCompany.com
Facebook;FB;04.02.2004;1 Hacker Way (aka 1601 Willow Road) Menlo Park California U.S.;04.02.2004;30275;2200000000;+1 234 567-89-00;Mark.Zuckerberg@facebook.com;Service;Software development;facebook.com
Ford Motor Company;F;16.06.1903;Dearborn Michigan U.S.;16.06.1903;202000;670000000;+1 234 567-89-00;Jim.Hackett@ford.com;Heavy Industry;Automotive;ford.com
Google;GOOG;04.09.1998;1600 Amphitheatre Parkway Mountain View California U.S.;04.09.1998;85050;4500000000;+1 234 567-89-00;Sundar.Pichai@gmail.com;Service;Internet;google.com
JPMorgan Chase;JPM;01.12.2000;270 Park Avenue New York City New York U.S.;01.12.2000;250000;320000000;+1 234 567-89-00;Jamie.Dimon@jp.com;Service;Banking;jpmorganchase.com
IBM;IBM;16.06.1911;Armonk New York U.S.;16.06.1911;380300;510000000;+1 234 567-89-00;Ginni.Rometty@ibm.com;Service;Software development;ibm.com
Intel;INTS;18.07.1968;Santa Clara California U.S.;18.07.1968;106000;4800000000;+1 234 567-89-00;Gordon.Moore@intel.com;Heavy Industry;Semiconductors;intel.com
Microsoft;MSFT;04.04.1975;One Microsoft Way Redmond Washington U.S.;04.04.1975;131300;3500000000;+1 234 567-89-00;Bill.Gates@outlook.com;Service;Software development;microsoft.com
Oracle Corporation;ORCL;16.06.1977;Redwood Shores California U.S.;16.06.1977;138000;2000000000;+1 234 567-89-00;Safra.Catz@oracle.com;Service;Cloud computing;oracle.com
Yahoo!;YHOO;11.01.1995;Sunnyvale California U.S.;11.01.1995;8600;1500000000;+1 234 567-89-00;Jerry.Yang@yahoo.com;Service;Software development;yahoo.com
Wal-Mart Stores, Inc.;WMT;02.07.1962;Bentonville Arkansas U.S.;02.07.1962;2300000;900000000;+1 234 567-89-00;Doug.McMillon@wlm.com;Service;Retail;walmart.com
